epoch,mean,std,count
1,348.0351336253525,124.36427145221701,30
500,55.65693574080435,15.40811814345596,30
1000,39.59861371877453,9.291769472236794,30
1500,39.71095891941871,9.69838252460152,30
2000,39.54696526733946,9.750394920240959,30
2500,31.96758863105759,6.855266147188091,30
3000,31.76314789585022,6.926057738077061,30
3500,31.593553742317912,6.4855965330644265,30
4000,32.25980058718916,7.081881120962725,30
4500,28.09063681487261,5.484591208725872,30
5000,28.183062557283144,5.573725695011076,30
