,Allenopithecus_nigroviridis_KJ434962,Cercocebus_atys_KT159932,Cercocebus_chrysogaster_KC757390,Cercocebus_torquatus_KJ434959,Cercopithecus_aethiops_AY863426,Cercopithecus_albogularis_KC757391,Cercopithecus_diana_KJ434958,Cercopithecus_lhoesti_KJ434957,Cercopithecus_mitis_KJ434956,Cercopithecus_neglectus_MW160353,Chlorocebus_aethiops_C1_KU682691,Chlorocebus_aethiops_MN816163,Chlorocebus_cynosuros_C3_KU682693,Chlorocebus_cynosuros_KM262190,Chlorocebus_djamdjamensis_C5_KU682695
Allenopithecus_nigroviridis_KJ434962,0.0,0.16831770750446795,0.17159298319726077,0.17077757613426695,0.15288917372691374,0.15736879443584056,0.1593831046890387,0.1516630103178871,0.15586257991121086,0.1578065669848339,0.15260457771410504,0.1554474082853377,0.15350372280012878,0.15209220032010637,0.15826673487796258
Cercocebus_atys_KT159932,0.16831770750446795,0.0,0.07904907462707365,0.07783265800482207,0.17125533366105156,0.1713032937348556,0.17092515189084045,0.1693210902446411,0.1748025198910824,0.1687193341752795,0.16907242343747497,0.17033831424865442,0.1693194867991876,0.16998274892114465,0.17274898393579474
Cercocebus_chrysogaster_KC757390,0.17159298319726077,0.07904907462707365,0.0,0.08316103851183525,0.17228152722049517,0.1705901812295705,0.17272179558454293,0.16760443957970972,0.171018044855234,0.1737177562342252,0.16878494891167842,0.17003676933110548,0.16949203403738747,0.16881613587608071,0.17208049263965775
Cercocebus_torquatus_KJ434959,0.17077757613426695,0.07783265800482207,0.08316103851183525,0.0,0.17112813307841793,0.17348583623595787,0.17345231230283123,0.17102433407451373,0.17454044324581056,0.17244552933323748,0.16991334507549868,0.17040892888219378,0.1685827993935282,0.16851177236575987,0.17332007718911058
Cercopithecus_aethiops_AY863426,0.15288917372691374,0.17125533366105156,0.17228152722049517,0.17112813307841793,0.0,0.1315978100241771,0.13573267163029532,0.1306311355684145,0.13154255256410372,0.136731990533227,0.03545296178532985,0.0366132391333426,0.04157115955316481,0.04125118784611531,0.05401637436259715
Cercopithecus_albogularis_KC757391,0.15736879443584056,0.1713032937348556,0.1705901812295705,0.17348583623595787,0.1315978100241771,0.0,0.13612234066201565,0.1207317049176141,0.05564391119064173,0.1341422045788979,0.1284422143348159,0.13195196068895232,0.12958521052861605,0.12824275196300275,0.13381537501577767
Cercopithecus_diana_KJ434958,0.1593831046890387,0.17092515189084045,0.17272179558454293,0.17345231230283123,0.13573267163029532,0.13612234066201565,0.0,0.13801745330518428,0.1344593614826865,0.130464373104544,0.13333897167772135,0.13638469719407859,0.13454217074936273,0.13423509132384323,0.1358549828370619
Cercopithecus_lhoesti_KJ434957,0.1516630103178871,0.1693210902446411,0.16760443957970972,0.17102433407451373,0.1306311355684145,0.1207317049176141,0.13801745330518428,0.0,0.12008301033080472,0.13220065245624735,0.1278327690999901,0.13023187802684202,0.1290228742124997,0.1299686993681796,0.13068093297947445
Cercopithecus_mitis_KJ434956,0.15586257991121086,0.1748025198910824,0.171018044855234,0.17454044324581056,0.13154255256410372,0.05564391119064173,0.1344593614826865,0.12008301033080472,0.0,0.13331611000978877,0.1277348123656059,0.13015627409139385,0.12634332262473158,0.12811450069629138,0.13109862186916357
Cercopithecus_neglectus_MW160353,0.1578065669848339,0.1687193341752795,0.1737177562342252,0.17244552933323748,0.136731990533227,0.1341422045788979,0.130464373104544,0.13220065245624735,0.13331611000978877,0.0,0.13557757408830745,0.13749126828124553,0.1347989840247436,0.1361159683536331,0.13723493155755978
Chlorocebus_aethiops_C1_KU682691,0.15260457771410504,0.16907242343747497,0.16878494891167842,0.16991334507549868,0.03545296178532985,0.1284422143348159,0.13333897167772135,0.1278327690999901,0.1277348123656059,0.13557757408830745,0.0,0.01634925313655334,0.03928358568180181,0.039281750351805665,0.053795562840440105
Chlorocebus_aethiops_MN816163,0.1554474082853377,0.17033831424865442,0.17003676933110548,0.17040892888219378,0.0366132391333426,0.13195196068895232,0.13638469719407859,0.13023187802684202,0.13015627409139385,0.13749126828124553,0.01634925313655334,0.0,0.03978610766210531,0.041621388636747456,0.055478850856126964
Chlorocebus_cynosuros_C3_KU682693,0.15350372280012878,0.1693194867991876,0.16949203403738747,0.1685827993935282,0.04157115955316481,0.12958521052861605,0.13454217074936273,0.1290228742124997,0.12634332262473158,0.1347989840247436,0.03928358568180181,0.03978610766210531,0.0,0.03951520732143444,0.05262079500416127
Chlorocebus_cynosuros_KM262190,0.15209220032010637,0.16998274892114465,0.16881613587608071,0.16851177236575987,0.04125118784611531,0.12824275196300275,0.13423509132384323,0.1299686993681796,0.12811450069629138,0.1361159683536331,0.039281750351805665,0.041621388636747456,0.03951520732143444,0.0,0.05474982626293738
Chlorocebus_djamdjamensis_C5_KU682695,0.15826673487796258,0.17274898393579474,0.17208049263965775,0.17332007718911058,0.05401637436259715,0.13381537501577767,0.1358549828370619,0.13068093297947445,0.13109862186916357,0.13723493155755978,0.053795562840440105,0.055478850856126964,0.05262079500416127,0.05474982626293738,0.0
