restart,epoch,full_delta,best_delta,objective_for_grad,best_objective_for_grad,best_epoch,learning_rate,optimized_variables,event
0,1,284.26893852893613,284.26893852893613,0.6247668978657936,0.6247668978657936,1,0.02,32,checkpoint
0,500,61.58749011816195,61.58749011816195,0.13535712113881748,0.13535712113881748,500,0.02,32,checkpoint
0,1000,46.171572952076055,46.171572952076055,0.10147598451005727,0.10147598451005727,1000,0.01,32,checkpoint
0,1500,50.13711699553683,46.171572952076055,0.11019146592425677,0.10147598451005727,1000,0.01,32,checkpoint
0,2000,51.52571578229473,46.171572952076055,0.11324333138965875,0.10147598451005727,1000,0.005,32,checkpoint
0,2500,42.83590578827224,42.83590578827224,0.09414484788631262,0.09414484788631262,2500,0.005,32,checkpoint
0,3000,41.35868324485348,41.35868324485348,0.09089820493374391,0.09089820493374391,3000,0.005,32,checkpoint
0,3500,38.970029490944796,38.970029490944796,0.08564841646361494,0.08564841646361494,3500,0.005,32,checkpoint
0,4000,40.18564308761748,38.970029490944796,0.08832009469806039,0.08564841646361494,3500,0.0025,32,checkpoint
0,4500,38.287697427428256,38.287697427428256,0.08414878555478737,0.08414878555478737,4500,0.0025,32,checkpoint
0,5000,38.052418246948974,38.052418246948974,0.08363168845483292,0.08363168845483292,5000,0.0025,32,checkpoint
